plate,well,nutrients,treatment,LM0,SP0,WB0,TOT0,LM2,SP2,WB2,TOT2,LM4,SP4,WB4,TOT4,LM6,SP6,WB6,TOT6,LM8,SP8,WB8,TOT8,LM10,SP10,WB10,TOT10,rgr1,rgr3,rgr5,rgr7,rgr9,maxRGR,avgRGR
K,2,low,LMSPWB,29.703,33.216,53.63,116.549,31.115,34.507,37.441,103.063,42.766,37.733,41.239,121.738,49.121,39.104,38.101,126.326,52.685,47.685,31.552,131.922,58.882,47.894,28.793,135.569,-0.061485667,0.083265371,0.018497336,0.021672486,0.013634948,0.083265371,0.015116895
J,4,low,WB,0,0,109.752,109.752,0,0,99.836,99.836,0,0,79.715,79.715,0,0,87.143,87.143,0,0,73.446,73.446,0,0,68.624,68.624,-0.047347218,-0.112535533,0.044546337,-0.085500003,-0.033954057,0.044546337,-0.046958095
K,1,low,SPWB,0,61.232,46.674,107.906,0,57.189,44.712,101.901,0,62.193,49.297,111.49,0,69.5,48.253,117.753,0,66.721,40.899,107.62,0,69.684,37.688,107.372,-0.028629362,0.044966574,0.027327155,-0.044991353,-0.001153532,0.044966574,-0.000496104
L,6,low,WB,0,0,92.153,92.153,0,0,89.128,89.128,0,0,122.851,122.851,0,0,101.253,101.253,0,0,86.597,86.597,0,0,81.835,81.835,-0.01668835,0.16044935,-0.096674952,-0.078178581,-0.028280074,0.16044935,-0.011874521
K,4,high,SPWB,0,57.431,77.637,135.068,0,65.046,69.978,135.024,0,87.722,142.505,230.227,0,133.33,218.324,351.654,0,183.808,255.088,438.896,0,228.02,275.795,503.815,-0.000162907,0.266806619,0.211790979,0.110807373,0.068973327,0.266806619,0.131643078
N,4,low,LMSPWB,22.359,46.872,42.376,111.607,28.755,49.517,38.458,116.73,35.488,53.118,37.669,126.275,46.777,58.055,40.833,145.665,59.931,56.431,41.263,157.625,49.672,56.237,30,135.909,0.022439902,0.039299246,0.071423698,0.039454665,-0.074116625,0.071423698,0.019700177
M,3,low,SPWB,0,62.347,72.924,135.271,0,75.402,66.876,142.278,0,86.917,90.025,176.942,0,92.839,63.623,156.462,0,96.587,51.082,147.669,0,90.938,45.671,136.609,0.025251358,0.109019553,-0.061504413,-0.028919943,-0.038925226,0.109019553,0.000984266
A,2,low,LM,46.374,0,0,46.374,48.849,0,0,48.849,64.585,0,0,64.585,77.692,0,0,77.692,85.586,0,0,85.586,99.607,0,0,99.607,0.025997475,0.139624139,0.092385053,0.048384713,0.075855362,0.139624139,0.076449349
P,6,low,LMSPWB,27.673,31.044,58.104,116.821,36.179,34.325,54.383,124.887,41.862,37.51,49.706,129.078,43.847,39.796,46.091,129.734,46.73,34.609,37.573,118.912,50.307,37.601,37.158,125.066,0.03338324,0.016503772,0.002534664,-0.043551238,0.025228937,0.03338324,0.006819875
J,1,high,WB,0,0,78.836,78.836,0,0,84.304,84.304,0,0,151.224,151.224,0,0,283.68,283.68,0,0,337.516,337.516,0,0,410.219,410.219,0.033529784,0.292166434,0.314542331,0.086883037,0.097539123,0.314542331,0.164932142
D,5,low,SP,0,74.133,0,74.133,0,79.287,0,79.287,0,87.307,0,87.307,0,97.793,0,97.793,0,105.191,0,105.191,0,108.157,0,108.157,0.033606702,0.048178231,0.056711178,0.036462373,0.013903065,0.056711178,0.03777231
L,3,high,WB,0,0,83.878,83.878,0,0,90.245,90.245,0,0,191.414,191.414,0,0,290.788,290.788,0,0,391.171,391.171,0,0,488.132,488.132,0.036582416,0.375955214,0.209077929,0.148275163,0.110720528,0.375955214,0.17612225
O,2,low,WB,0,0,73.771,73.771,0,0,79.923,79.923,0,0,81.836,81.836,0,0,66.877,66.877,0,0,79.494,79.494,0,0,62.883,62.883,0.040048985,0.011826787,-0.100931067,0.086413218,-0.117202845,0.086413218,-0.015968984
O,1,low,SP,0,47.055,0,47.055,0,51.503,0,51.503,0,58.952,0,58.952,0,66.803,0,66.803,0,69.45,0,69.45,0,78.567,0,78.567,0.045161464,0.067541748,0.062512218,0.01942954,0.061672347,0.067541748,0.051263463
O,4,high,SP,0,63.006,0,63.006,0,70.388,0,70.388,0,97.664,0,97.664,0,129.422,0,129.422,0,204.955,0,204.955,0,312.065,0,312.065,0.055396417,0.163755111,0.140772683,0.22985603,0.210210528,0.22985603,0.159998154
K,5,high,LMSPWB,40.838,61.649,60.151,162.638,55.649,84.22,46.35,186.219,91.522,133.288,86.225,311.035,139.757,210.582,122.979,473.318,187.03,274.937,123.091,585.058,231.417,336.562,122.555,690.534,0.067698264,0.256491023,0.20993101,0.10597176,0.082877112,0.256491023,0.144593834
E,1,low,LMSP,30.398,76.967,0,107.365,37.407,86.309,0,123.716,52.41,95.769,0,148.179,57.357,109.881,0,167.238,65.956,115.538,0,181.494,62.936,90.406,0,153.342,0.070877186,0.090216193,0.060498473,0.040902324,-0.084275937,0.090216193,0.035643648
J,5,low,LMSP,60.101,48.84,0,108.941,65.549,60.754,0,126.303,71.872,58.855,0,130.727,84.074,61.185,0,145.259,91.783,64.372,0,156.155,85.814,61.377,0,147.191,0.073938665,0.017213699,0.052703588,0.036165374,-0.02955902,0.073938665,0.030092461
D,2,high,SP,0,61.64,0,61.64,0,72.502,0,72.502,0,83.218,0,83.218,0,138.949,0,138.949,0,243.344,0,243.344,0,350.656,0,350.656,0.081151569,0.068924761,0.256321644,0.28018456,0.182664803,0.28018456,0.173849468
M,2,low,LMWB,28.446,0,70.763,99.209,38.589,0,78.932,117.521,49.32,0,84.916,134.236,55.923,0,61.017,116.94,60.944,0,57.199,118.143,61.535,0,48.999,110.534,0.084694153,0.066491202,-0.068969231,0.005117386,-0.033286295,0.084694153,0.010809443
H,5,low,SPWB,0,48.93,48.668,97.598,0,59.518,57.165,116.683,0,60.564,63.421,123.985,0,62.696,54.085,116.781,0,70.199,56.595,126.794,0,67.04,42.689,109.729,0.089301927,0.030349867,-0.029930102,0.041131668,-0.072275016,0.089301927,0.011715669
D,4,low,LM,59.023,0,0,59.023,70.759,0,0,70.759,81.506,0,0,81.506,102.066,0,0,102.066,106.773,0,0,106.773,99.625,0,0,99.625,0.090676269,0.07069845,0.112471513,0.022542711,-0.034645974,0.112471513,0.052348594
H,4,low,LMWB,32.84,0,39.731,72.571,38.034,0,49.166,87.2,50.668,0,50.043,100.711,56.913,0,47.241,104.154,64.872,0,49.049,113.921,72.999,0,44.986,117.985,0.091819469,0.072025349,0.016807772,0.044817326,0.017526136,0.091819469,0.04859921
O,3,low,LMSP,24.784,43.515,0,68.299,35.253,46.903,0,82.156,44.557,52.471,0,97.028,49.102,53.798,0,102.9,58.792,55.965,0,114.757,72.366,53.52,0,125.886,0.092362377,0.083189859,0.029379023,0.054529603,0.046279943,0.092362377,0.061148161
G,3,low,LMSP,38.419,44.405,0,82.824,46.413,53.608,0,100.021,53.307,59.423,0,112.73,56.668,61.192,0,117.86,51.446,67.997,0,119.443,41.813,67.046,0,108.859,0.094331145,0.059807708,0.02225095,0.006670895,-0.046392902,0.094331145,0.027333559
N,6,low,LM,53.313,0,0,53.313,64.401,0,0,64.401,94.716,0,0,94.716,99.557,0,0,99.557,125.963,0,0,125.963,129.315,0,0,129.315,0.094474479,0.19287689,0.024923702,0.117628934,0.013131538,0.19287689,0.088607108
N,1,high,LMSPWB,34.01,50.465,43.984,128.459,49.183,61.462,45.389,156.034,91.114,106.327,82.785,280.226,137.524,170.968,110.949,419.441,183.701,223.535,125.978,533.214,223.61,264.612,109.397,597.619,0.097232072,0.292761244,0.201663226,0.119999986,0.057015291,0.292761244,0.153734364
L,4,low,LM,52.528,0,0,52.528,64.926,0,0,64.926,83.523,0,0,83.523,94.922,0,0,94.922,104.516,0,0,104.516,107.997,0,0,107.997,0.1059509,0.125936942,0.063966729,0.048142334,0.01638164,0.125936942,0.072075709
F,6,low,LM,53.7,0,0,53.7,66.475,0,0,66.475,98.773,0,0,98.773,107.474,0,0,107.474,120.922,0,0,120.922,113.662,0,0,113.662,0.106706468,0.197999175,0.042212335,0.058948376,-0.030958289,0.197999175,0.074981613
I,3,low,SP,0,66.557,0,66.557,0,82.92,0,82.92,0,102.073,0,102.073,0,109.825,0,109.825,0,112.255,0,112.255,0,121.388,0,121.388,0.109908782,0.103905978,0.036599973,0.01094244,0.039109479,0.109908782,0.06009333
L,5,low,SP,0,122.693,0,122.693,0,153.886,0,153.886,0,181.573,0,181.573,0,204.947,0,204.947,0,220.1,0,220.1,0,216.268,0,216.268,0.113263384,0.082722854,0.060546816,0.03566529,-0.008781805,0.113263384,0.056683308
P,4,low,LMWB,42.424,0,58.885,101.309,58.854,0,69.166,128.02,67.944,0,57.4,125.344,77.846,0,55.343,133.189,86.578,0,52.181,138.759,88.766,0,49.958,138.724,0.117005625,-0.010562272,0.030353607,0.020484722,-0.000126134,0.117005625,0.03143111
J,2,high,LMSP,41.702,62.167,0,103.869,57.669,73.883,0,131.552,75.152,100.733,0,175.885,110.092,147.629,0,257.721,129.368,153.396,0,282.764,147.311,162.674,0,309.985,0.11813586,0.145214081,0.191023616,0.046367512,0.045955641,0.191023616,0.109339342
E,3,low,SPWB,0,31.948,43.272,75.22,0,38.422,57.509,95.931,0,40.807,52.845,93.652,0,40.825,44.169,84.994,0,46.71,48.218,94.928,0,44.962,43.189,88.151,0.121606015,-0.012021699,-0.04850256,0.055269022,-0.037033728,0.121606015,0.01586341
I,6,high,SP,0,79.173,0,79.173,0,101.348,0,101.348,0,180.112,0,180.112,0,330.691,0,330.691,0,478.351,0,478.351,0,652.257,0,652.257,0.123462404,0.28750937,0.303802763,0.184580184,0.155046942,0.303802763,0.210880332
F,4,low,LMSPWB,27.186,33.844,27.079,88.109,29.482,38.969,45.074,113.525,44.406,47.698,49.49,141.594,51.996,58.367,56.046,166.409,58.134,63.616,55.554,177.304,57.491,58.444,37.872,153.807,0.126724196,0.110470365,0.080742403,0.03170858,-0.071083602,0.126724196,0.055712389
M,6,high,SPWB,0,50.753,67.381,118.134,0,73.409,80.062,153.471,0,123.89,177.74,301.63,0,173.305,217.135,390.44,0,220.741,250.477,471.218,0,309.435,256.149,565.584,0.130846025,0.337844738,0.129036604,0.094023262,0.091268997,0.337844738,0.156603925
H,2,high,SPWB,0,44.035,33.285,77.32,0,53.873,48.059,101.932,0,84.721,91.905,176.626,0,130.755,146.389,277.144,0,208.866,232.619,441.485,0,287.546,266.659,554.205,0.138176635,0.274864289,0.225251362,0.232803409,0.113695305,0.274864289,0.1969582
A,3,low,SP,0,58.251,0,58.251,0,76.941,0,76.941,0,101.003,0,101.003,0,111.415,0,111.415,0,126.543,0,126.543,0,139.811,0,139.811,0.139138817,0.136055662,0.049055874,0.063660102,0.04985467,0.139138817,0.087553025
L,2,high,SP,0,90.344,0,90.344,0,119.915,0,119.915,0,191.217,0,191.217,0,317.201,0,317.201,0,416.315,0,416.315,0,557.775,0,557.775,0.141579276,0.233312875,0.253063367,0.135953271,0.146256735,0.253063367,0.182033105
A,5,high,LM,44.223,0,0,44.223,58.71,0,0,58.71,118.709,0,0,118.709,218.145,0,0,218.145,341.77,0,0,341.77,446.207,0,0,446.207,0.141682527,0.352032525,0.30424243,0.224489008,0.133322487,0.352032525,0.231153795
H,6,low,LMSPWB,15.702,38.946,41.234,95.882,22.235,43.353,62.316,127.904,30.244,38.19,53.906,122.34,26.758,47.794,46.642,121.194,34.159,50.17,54.21,138.539,38.632,43.418,37.711,119.761,0.144080857,-0.022237964,-0.004705743,0.066879653,-0.072826892,0.144080857,0.022237982
M,1,low,LMSP,27.723,31.672,0,59.395,39.63,40.244,0,79.874,50.87,45.264,0,96.134,49.261,54.265,0,103.526,49.348,56.516,0,105.864,50.802,58.499,0,109.301,0.148120173,0.092646329,0.037039869,0.011166231,0.015975146,0.148120173,0.06098955
E,6,high,SPWB,0,39.926,53.977,93.903,0,49.916,76.558,126.474,0,79.94,137.124,217.064,0,118.717,174.006,292.723,0,167.872,239.733,407.605,0,224.168,216.113,440.281,0.148887209,0.270077744,0.149517264,0.165535899,0.038557296,0.270077744,0.154515082
D,6,low,WB,0,0,74.262,74.262,0,0,100.844,100.844,0,0,73.986,73.986,0,0,102.943,102.943,0,0,88.36,88.36,0,0,68.032,68.032,0.152987694,-0.154849441,0.165149775,-0.076378029,-0.130720598,0.165149775,-0.00876212
P,5,low,SPWB,0,60.18,48.405,108.585,0,81.748,66.102,147.85,0,90.142,46.599,136.741,0,107.513,41.996,149.509,0,116.68,35.72,152.4,0,119.549,25.789,145.338,0.154332485,-0.03905481,0.044633983,0.009576026,-0.023723289,0.154332485,0.029152879
E,2,low,LMWB,33.43,0,40.691,74.121,43.701,0,57.263,100.964,55.195,0,51.615,106.81,60.641,0,46.393,107.034,70.261,0,53.145,123.406,73.865,0,41.809,115.674,0.154532562,0.028143769,0.001047493,0.071166596,-0.032351921,0.154532562,0.0445077
C,2,low,LMSPWB,34.722,43.148,23.382,101.252,45.103,53.892,39.507,138.502,54.772,58.432,36.589,149.793,54.422,73.895,42.937,171.254,56.943,69.64,37.174,163.757,57.467,66.676,27.124,151.267,0.156636154,0.039184788,0.066946747,-0.022382106,-0.039668567,0.156636154,0.040143403
G,1,low,SP,0,97.541,0,97.541,0,133.57,0,133.57,0,155.766,0,155.766,0,166.082,0,166.082,0,170.874,0,170.874,0,173.452,0,173.452,0.157176441,0.076864598,0.032063381,0.0142224,0.007487231,0.157176441,0.05756281
B,5,low,LMSP,37.644,40.787,0,78.431,50.235,57.303,0,107.538,60.198,66.692,0,126.89,67.365,76.036,0,143.401,68.521,78.024,0,146.545,73.288,80.459,0,153.747,0.157812508,0.082738148,0.061162166,0.010843823,0.023987923,0.157812508,0.067308914
L,1,high,LM,58.242,0,0,58.242,80.467,0,0,80.467,148.961,0,0,148.961,234.586,0,0,234.586,329.498,0,0,329.498,443.876,0,0,443.876,0.161620209,0.307918682,0.227068866,0.169874013,0.14898748,0.307918682,0.20309385
G,2,low,WB,0,0,70.231,70.231,0,0,97.372,97.372,0,0,104.429,104.429,0,0,87.545,87.545,0,0,93.12,93.12,0,0,81.842,81.842,0.163374443,0.03498436,-0.088177234,0.030868019,-0.064549212,0.163374443,0.015300075
J,3,high,LMWB,33.849,0,43.743,77.592,55.563,0,53.229,108.792,88.728,0,103.702,192.43,148.187,0,171.76,319.947,208.566,0,181.209,389.775,277.171,0,194.838,472.009,0.168986737,0.285147324,0.254211453,0.098707146,0.095714202,0.285147324,0.180553372
H,3,high,LMSPWB,19.483,22.836,25.88,68.199,28.839,26.595,40.278,95.712,61.486,40.711,75.023,177.22,97.211,65.059,105.328,267.598,145.642,90.544,170.223,406.409,208.179,119.791,191.386,519.356,0.16945689,0.308024108,0.206046978,0.208937094,0.12261477,0.308024108,0.203015968
P,2,high,SPWB,0,49.888,47.891,97.779,0,64.288,74.371,138.659,0,110.493,111.292,221.785,0,179.028,191.699,370.727,0,257.981,215.07,473.051,0,342.124,241.394,583.518,0.174653926,0.234845381,0.256878749,0.121868631,0.104936047,0.256878749,0.178636547
O,6,high,LMSP,30.936,40.43,0,71.366,50.392,51.356,0,101.748,91.183,98.414,0,189.597,142.561,149.098,0,291.659,205.644,205.576,0,411.22,271.584,234.425,0,506.009,0.177338801,0.311200799,0.215342272,0.17177152,0.103713052,0.311200799,0.195873289
B,6,low,LMWB,21.137,0,39.829,60.966,28.436,0,59.551,87.987,38.324,0,59.315,97.639,45.916,0,54.855,100.771,50.403,0,45.934,96.337,49.859,0,40.977,90.836,0.183436372,0.052043964,0.015786806,-0.022499077,-0.029398389,0.183436372,0.039873935
I,2,low,LM,52.172,0,0,52.172,75.317,0,0,75.317,97.996,0,0,97.996,120.64,0,0,120.64,124.314,0,0,124.314,133.409,0,0,133.409,0.18357996,0.131610394,0.103942121,0.014999859,0.035304487,0.18357996,0.093887364
P,3,high,LMSPWB,28.572,41.88,48.929,119.381,58.636,56.465,58.002,173.103,86.831,76.611,87.208,250.65,132.045,109.512,107.744,349.301,171.849,148.673,99.259,419.781,224.923,176.201,104.568,505.692,0.185783367,0.185085375,0.165938235,0.091899566,0.093097321,0.185783367,0.144360773
A,6,high,SP,0,72.015,0,72.015,0,104.889,0,104.889,0,219.001,0,219.001,0,372.054,0,372.054,0,547.758,0,547.758,0,740.642,0,740.642,0.188014109,0.368086824,0.264981355,0.193397289,0.150841897,0.368086824,0.233064295
N,3,high,LM,42.763,0,0,42.763,62.435,0,0,62.435,143.525,0,0,143.525,245.591,0,0,245.591,379.454,0,0,379.454,517.841,0,0,517.841,0.189226386,0.41619161,0.268579157,0.217532913,0.155467434,0.41619161,0.2493995
J,6,low,LMWB,32.842,0,27.954,60.796,48.089,0,40.703,88.792,59.716,0,48.315,108.031,70.363,0,46.492,116.855,73.203,0,38.262,111.465,80.454,0,35.166,115.62,0.189386279,0.098060834,0.039257813,-0.023611605,0.018299156,0.189386279,0.064278495
G,5,high,WB,0,0,83.778,83.778,0,0,122.68,122.68,0,0,234.37,234.37,0,0,327.044,327.044,0,0,466.565,466.565,0,0,514.448,514.448,0.190704448,0.323660862,0.166596828,0.177651314,0.048848568,0.323660862,0.181492404
H,1,high,LMWB,30.911,0,35.689,66.6,47.476,0,50.837,98.313,90.328,0,109.366,199.694,146.143,0,151.192,297.335,224.538,0,189.439,413.977,278.726,0,178.241,456.967,0.194725845,0.354314964,0.199036627,0.165475484,0.049400381,0.354314964,0.19259066
B,2,high,LMSP,25.582,62.811,0,88.393,50.127,82.317,0,132.444,96.108,139.622,0,235.73,159.121,229.055,0,388.176,223.004,300.779,0,523.783,305.723,358.767,0,664.49,0.202183567,0.288263584,0.249385881,0.149809316,0.118971176,0.288263584,0.201722705
F,3,high,LM,47.52,0,0,47.52,71.872,0,0,71.872,167.725,0,0,167.725,273.464,0,0,273.464,392.16,0,0,392.16,528.707,0,0,528.707,0.206868042,0.423719487,0.244422126,0.180249967,0.149382242,0.423719487,0.240928373
D,3,high,WB,0,0,76.611,76.611,0,0,116.066,116.066,0,0,183.023,183.023,0,0,341.817,341.817,0,0,391.347,391.347,0,0,374.507,374.507,0.207709163,0.227726417,0.312331839,0.067659564,-0.02199207,0.312331839,0.158686982
F,1,high,LMSPWB,36.183,39.078,26.601,101.862,51.484,58.001,45.733,155.218,106.085,108.749,72.773,287.607,168.514,178.059,113.545,460.118,226.938,230.46,126.711,584.109,269.479,271.377,99.908,640.764,0.210605812,0.308382192,0.234944007,0.119302315,0.046286803,0.308382192,0.183904226
M,4,high,LMSP,27.684,67.645,0,95.329,42.426,103.967,0,146.393,84.961,190.756,0,275.717,125.805,296.718,0,422.523,175.093,393.087,0,568.18,227.001,505.978,0,732.979,0.21448036,0.316540096,0.213434453,0.148097193,0.127339391,0.316540096,0.203978299
B,4,low,WB,0,0,41.408,41.408,0,0,63.862,63.862,0,0,75.2,75.2,0,0,63.989,63.989,0,0,61.095,61.095,0,0,51.444,51.444,0.216625203,0.081713363,-0.080720019,-0.023140582,-0.085968096,0.216625203,0.021701974
O,5,high,WB,0,0,58.727,58.727,0,0,90.807,90.807,0,0,149.02,149.02,0,0,223.276,223.276,0,0,395.969,395.969,0,0,423.779,423.779,0.217918394,0.247672075,0.202164075,0.286463626,0.033938084,0.286463626,0.197631251
D,1,high,LM,43.784,0,0,43.784,67.93,0,0,67.93,128.618,0,0,128.618,263.005,0,0,263.005,406.652,0,0,406.652,521.473,0,0,521.473,0.219604655,0.319184504,0.357663136,0.21789237,0.124349858,0.357663136,0.247738905
E,4,high,LMSP,32.468,32.145,0,64.613,58.012,43.11,0,101.122,113.114,89.112,0,202.226,196.202,158.349,0,354.551,287.709,219.456,0,507.165,359.423,258.442,0,617.865,0.22395604,0.346529088,0.280733158,0.178992097,0.098716796,0.346529088,0.225785436
C,4,high,SPWB,0,57.518,32.571,90.089,0,82.801,59.557,142.358,0,131.134,100.173,231.307,0,222.464,192.569,415.033,0,296.38,182.298,478.678,0,333.935,164.468,498.403,0.228773471,0.24270041,0.292306101,0.071335051,0.020190425,0.292306101,0.171061092
E,5,high,LMWB,34.814,0,33.96,68.774,60.267,0,50.507,110.774,112.648,0,93.735,206.383,180.233,0,142.929,323.162,282.759,0,186.436,469.195,356.263,0,156.737,513,0.238333162,0.311120788,0.22421004,0.186432357,0.044628692,0.311120788,0.200945008
P,1,high,LMWB,35.671,0,39.903,75.574,61.67,0,61.988,123.658,102.12,0,94.902,197.022,164.596,0,156.584,321.18,214.132,0,155.614,369.746,272.998,0,164.055,437.053,0.246203691,0.232897854,0.244343158,0.070407285,0.083619093,0.246203691,0.175494216
M,5,high,LMWB,36.335,0,55.7,92.035,64.02,0,88.103,152.123,110.746,0,148.042,258.788,161.653,0,172.788,334.441,222.79,0,225.942,448.732,311.694,0,226.261,537.955,0.251260232,0.265659895,0.128225644,0.146982673,0.090674543,0.265659895,0.176560597
G,6,high,LMSP,32.559,70.005,0,102.564,59.316,112.103,0,171.419,94.842,124.197,0,219.039,140.636,195.326,0,335.962,184.105,265.788,0,449.893,238.128,338.245,0,576.373,0.256811929,0.122569472,0.213874131,0.146005859,0.123872622,0.256811929,0.172626803
I,5,high,LM,31.539,0,0,31.539,52.993,0,0,52.993,101.997,0,0,101.997,194.305,0,0,194.305,315.114,0,0,315.114,471.341,0,0,471.341,0.259467477,0.327391786,0.322242844,0.241752694,0.201323673,0.327391786,0.270435695
C,5,high,LMSPWB,33.774,21.838,29.58,85.192,57.372,33.496,54.189,145.057,92.257,59.09,81.53,232.877,155.022,107.661,147.521,410.204,202.476,150.749,138.658,491.883,265.266,179.734,121.567,566.567,0.266109618,0.236691824,0.28307209,0.090793143,0.07067723,0.28307209,0.189468781
G,4,high,SP,0,91.534,0,91.534,0,159.337,0,159.337,0,312.981,0,312.981,0,534.839,0,534.839,0,736.715,0,736.715,0,881.448,0,881.448,0.277155484,0.337560515,0.267911641,0.160117674,0.089682448,0.337560515,0.226485552
C,1,low,SPWB,0,40.362,26.237,66.599,0,63.977,52.399,116.376,0,67.711,39.98,107.691,0,78.964,41.477,120.441,0,76.818,34.922,111.74,0,69.741,26.956,96.697,0.279068383,-0.038780157,0.055946996,-0.037492631,-0.072296183,0.279068383,0.037289282
B,3,high,LMWB,27.9,0,36.792,64.692,53.969,0,62.464,116.433,97.556,0,102.256,199.812,149.517,0,137.067,286.584,198.739,0,132.197,330.936,245.768,0,120.917,366.685,0.293839227,0.270030462,0.180327381,0.071946658,0.051289083,0.293839227,0.173486562
B,1,high,WB,0,0,24.042,24.042,0,0,53.94,53.94,0,0,110.643,110.643,0,0,191.422,191.422,0,0,251.377,251.377,0,0,292.96,292.96,0.404035008,0.359218242,0.274085806,0.136236695,0.076541138,0.404035008,0.250023378
A,1,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
A,4,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
C,3,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
C,6,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
F,2,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
F,5,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
I,1,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
I,4,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
K,3,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
K,6,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
N,2,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
N,5,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
