plate,well,nutrients,treatment,LM0,SP0,WB0,TOT0,LM2,SP2,WB2,TOT2,LM4,SP4,WB4,TOT4,LM6,SP6,WB6,TOT6,LM8,SP8,WB8,TOT8,LM10,SP10,WB10,TOT10
A,1,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,2,low,LM,46.374,0,0,46.374,48.849,0,0,48.849,64.585,0,0,64.585,77.692,0,0,77.692,85.586,0,0,85.586,99.607,0,0,99.607
A,3,low,SP,0,58.251,0,58.251,0,76.941,0,76.941,0,101.003,0,101.003,0,111.415,0,111.415,0,126.543,0,126.543,0,139.811,0,139.811
A,4,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,5,high,LM,44.223,0,0,44.223,58.71,0,0,58.71,118.709,0,0,118.709,218.145,0,0,218.145,341.77,0,0,341.77,446.207,0,0,446.207
A,6,high,SP,0,72.015,0,72.015,0,104.889,0,104.889,0,219.001,0,219.001,0,372.054,0,372.054,0,547.758,0,547.758,0,740.642,0,740.642
B,1,high,WB,0,0,24.042,24.042,0,0,53.94,53.94,0,0,110.643,110.643,0,0,191.422,191.422,0,0,251.377,251.377,0,0,292.96,292.96
B,2,high,LMSP,25.582,62.811,0,88.393,50.127,82.317,0,132.444,96.108,139.622,0,235.73,159.121,229.055,0,388.176,223.004,300.779,0,523.783,305.723,358.767,0,664.49
B,3,high,LMWB,29.96,0,17.347,47.307,53.969,0,62.464,116.433,97.556,0,102.256,199.812,149.517,0,137.067,286.584,198.739,0,132.197,330.936,245.768,0,120.917,366.685
B,4,low,WB,0,0,41.408,41.408,0,0,63.862,63.862,0,0,75.2,75.2,0,0,63.989,63.989,0,0,61.095,61.095,0,0,51.444,51.444
B,5,low,LMSP,37.644,40.787,0,78.431,50.235,57.303,0,107.538,60.198,66.692,0,126.89,67.365,76.036,0,143.401,68.521,78.024,0,146.545,73.288,80.459,0,153.747
B,6,low,LMWB,19.676,0,22.635,42.311,28.436,0,59.551,87.987,38.324,0,59.315,97.639,45.916,0,54.855,100.771,50.403,0,45.934,96.337,49.859,0,40.977,90.836
C,1,low,SPWB,0,40.362,26.237,66.599,0,63.977,52.399,116.376,0,67.711,39.98,107.691,0,78.964,41.477,120.441,0,76.818,34.922,111.74,0,69.741,26.956,96.697
C,2,low,LMSPWB,34.722,43.148,23.382,101.252,45.103,53.892,39.507,138.502,54.772,58.432,36.589,149.793,54.422,73.895,42.937,171.254,56.943,69.64,37.174,163.757,57.467,66.676,27.124,151.267
C,3,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,4,high,SPWB,0,57.518,32.571,90.089,0,82.801,59.557,142.358,0,131.134,100.173,231.307,0,222.464,192.569,415.033,0,296.38,182.298,478.678,0,333.935,164.468,498.403
C,5,high,LMSPWB,33.774,21.838,29.58,85.192,57.372,33.496,54.189,145.057,92.257,59.09,81.53,232.877,155.022,107.661,147.521,410.204,202.476,150.749,138.658,491.883,265.266,179.734,121.567,566.567
C,6,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,1,high,LM,43.784,0,0,43.784,67.93,0,0,67.93,128.618,0,0,128.618,263.005,0,0,263.005,406.652,0,0,406.652,521.473,0,0,521.473
D,2,high,SP,0,61.64,0,61.64,0,72.502,0,72.502,0,83.218,0,83.218,0,138.949,0,138.949,0,243.344,0,243.344,0,350.656,0,350.656
D,3,high,WB,0,0,76.611,76.611,0,0,116.066,116.066,0,0,183.023,183.023,0,0,341.817,341.817,0,0,391.347,391.347,0,0,374.507,374.507
D,4,low,LM,59.023,0,0,59.023,70.759,0,0,70.759,81.506,0,0,81.506,102.066,0,0,102.066,106.773,0,0,106.773,99.625,0,0,99.625
D,5,low,SP,0,74.133,0,74.133,0,79.287,0,79.287,0,87.307,0,87.307,0,97.793,0,97.793,0,105.191,0,105.191,0,108.157,0,108.157
D,6,low,WB,0,0,74.262,74.262,0,0,100.844,100.844,0,0,73.986,73.986,0,0,102.943,102.943,0,0,88.36,88.36,0,0,68.032,68.032
E,1,low,LMSP,30.398,76.967,0,107.365,37.407,86.309,0,123.716,52.41,95.769,0,148.179,57.357,109.881,0,167.238,65.956,115.538,0,181.494,62.936,90.406,0,153.342
E,2,low,LMWB,33.43,0,40.691,74.121,43.701,0,57.263,100.964,55.195,0,51.615,106.81,60.641,0,46.393,107.034,70.261,0,53.145,123.406,73.865,0,41.809,115.674
E,3,low,SPWB,0,31.948,43.272,75.22,0,38.422,57.509,95.931,0,40.807,52.845,93.652,0,40.825,44.169,84.994,0,46.71,48.218,94.928,0,44.962,43.189,88.151
E,4,high,LMSP,32.468,32.145,0,64.613,58.012,43.11,0,101.122,113.114,89.112,0,202.226,196.202,158.349,0,354.551,287.709,219.456,0,507.165,359.423,258.442,0,617.865
E,5,high,LMWB,34.814,0,33.96,68.774,60.267,0,50.507,110.774,112.648,0,93.735,206.383,180.233,0,142.929,323.162,282.759,0,186.436,469.195,356.263,0,156.737,513
E,6,high,SPWB,0,39.926,53.977,93.903,0,49.916,76.558,126.474,0,79.94,137.124,217.064,0,118.717,174.006,292.723,0,167.872,239.733,407.605,0,224.168,216.113,440.281
F,1,high,LMSPWB,36.183,39.078,26.601,101.862,51.484,58.001,45.733,155.218,106.085,108.749,72.773,287.607,168.514,178.059,113.545,460.118,226.938,230.46,126.711,584.109,269.479,271.377,99.908,640.764
F,2,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,3,high,LM,47.52,0,0,47.52,71.872,0,0,71.872,167.725,0,0,167.725,273.464,0,0,273.464,392.16,0,0,392.16,528.707,0,0,528.707
F,4,low,LMSPWB,27.186,33.844,27.079,88.109,29.482,38.969,45.074,113.525,44.406,47.698,49.49,141.594,51.996,58.367,56.046,166.409,58.134,63.616,55.554,177.304,57.491,58.444,37.872,153.807
F,5,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,6,low,LM,53.7,0,0,53.7,66.475,0,0,66.475,98.773,0,0,98.773,107.474,0,0,107.474,120.922,0,0,120.922,113.662,0,0,113.662
G,1,low,SP,0,97.541,0,97.541,0,133.57,0,133.57,0,155.766,0,155.766,0,166.082,0,166.082,0,170.874,0,170.874,0,173.452,0,173.452
G,2,low,WB,0,0,70.231,70.231,0,0,97.372,97.372,0,0,104.429,104.429,0,0,87.545,87.545,0,0,93.12,93.12,0,0,81.842,81.842
G,3,low,LMSP,38.419,44.405,0,82.824,46.413,53.608,0,100.021,53.307,59.423,0,112.73,56.668,61.192,0,117.86,51.446,67.997,0,119.443,41.813,67.046,0,108.859
G,4,high,SP,0,91.534,0,91.534,0,159.337,0,159.337,0,312.981,0,312.981,0,534.839,0,534.839,0,736.715,0,736.715,0,881.448,0,881.448
G,5,high,WB,0,0,83.778,83.778,0,0,122.68,122.68,0,0,234.37,234.37,0,0,327.044,327.044,0,0,466.565,466.565,0,0,514.448,514.448
G,6,high,LMSP,32.559,70.005,0,102.564,59.316,112.103,0,171.419,94.842,124.197,0,219.039,140.636,195.326,0,335.962,184.105,265.788,0,449.893,238.128,338.245,0,576.373
H,1,high,LMWB,30.911,0,35.689,66.6,47.476,0,50.837,98.313,90.328,0,109.366,199.694,146.143,0,151.192,297.335,224.538,0,189.439,413.977,278.726,0,178.241,456.967
H,2,high,SPWB,0,44.035,33.285,77.32,0,53.873,48.059,101.932,0,84.721,91.905,176.626,0,130.755,146.389,277.144,0,208.866,232.619,441.485,0,287.546,266.659,554.205
H,3,high,LMSPWB,19.483,22.836,25.88,68.199,28.839,26.595,40.278,95.712,61.486,40.711,75.023,177.22,97.211,65.059,105.328,267.598,145.642,90.544,170.223,406.409,208.179,119.791,191.386,519.356
H,4,low,LMWB,32.84,0,39.731,72.571,38.034,0,49.166,87.2,50.668,0,50.043,100.711,56.913,0,47.241,104.154,64.872,0,49.049,113.921,72.999,0,44.986,117.985
H,5,low,SPWB,0,48.93,48.668,97.598,0,59.518,57.165,116.683,0,60.564,63.421,123.985,0,62.696,54.085,116.781,0,70.199,56.595,126.794,0,67.04,42.689,109.729
H,6,low,LMSPWB,15.702,38.946,41.234,95.882,22.235,43.353,62.316,127.904,30.244,38.19,53.906,122.34,26.758,47.794,46.642,121.194,34.159,50.17,54.21,138.539,38.632,43.418,37.711,119.761
I,1,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,2,low,LM,52.172,0,0,52.172,75.317,0,0,75.317,97.996,0,0,97.996,120.64,0,0,120.64,124.314,0,0,124.314,133.409,0,0,133.409
I,3,low,SP,0,66.557,0,66.557,0,82.92,0,82.92,0,102.073,0,102.073,0,109.825,0,109.825,0,112.255,0,112.255,0,121.388,0,121.388
I,4,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,5,high,LM,31.539,0,0,31.539,52.993,0,0,52.993,101.997,0,0,101.997,194.305,0,0,194.305,315.114,0,0,315.114,471.341,0,0,471.341
I,6,high,SP,0,79.173,0,79.173,0,101.348,0,101.348,0,180.112,0,180.112,0,330.691,0,330.691,0,478.351,0,478.351,0,652.257,0,652.257
J,1,high,WB,0,0,78.836,78.836,0,0,84.304,84.304,0,0,151.224,151.224,0,0,283.68,283.68,0,0,337.516,337.516,0,0,410.219,410.219
J,2,high,LMSP,41.702,62.167,0,103.869,57.669,73.883,0,131.552,75.152,100.733,0,175.885,110.092,147.629,0,257.721,129.368,153.396,0,282.764,147.311,162.674,0,309.985
J,3,high,LMWB,34.514,0,54.08,88.594,55.563,0,53.229,108.792,88.728,0,103.702,192.43,148.187,0,171.76,319.947,208.566,0,181.209,389.775,277.171,0,194.838,472.009
J,4,low,WB,0,0,109.752,109.752,0,0,99.836,99.836,0,0,79.715,79.715,0,0,87.143,87.143,0,0,73.446,73.446,0,0,68.624,68.624
J,5,low,LMSP,60.101,48.84,0,108.941,65.549,60.754,0,126.303,71.872,58.855,0,130.727,84.074,61.185,0,145.259,91.783,64.372,0,156.155,85.814,61.377,0,147.191
J,6,low,LMWB,40.09,0,49.601,89.691,48.089,0,40.703,88.792,59.716,0,48.315,108.031,70.363,0,46.492,116.855,73.203,0,38.262,111.465,80.454,0,35.166,115.62
K,1,low,SPWB,0,61.232,46.674,107.906,0,57.189,44.712,101.901,0,62.193,49.297,111.49,0,69.5,48.253,117.753,0,66.721,40.899,107.62,0,69.684,37.688,107.372
K,2,low,LMSPWB,29.703,33.216,53.63,116.549,31.115,34.507,37.441,103.063,42.766,37.733,41.239,121.738,49.121,39.104,38.101,126.326,52.685,47.685,31.552,131.922,58.882,47.894,28.793,135.569
K,3,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,4,high,SPWB,0,57.431,77.637,135.068,0,65.046,69.978,135.024,0,87.722,142.505,230.227,0,133.33,218.324,351.654,0,183.808,255.088,438.896,0,228.02,275.795,503.815
K,5,high,LMSPWB,40.838,61.649,60.151,162.638,55.649,84.22,46.35,186.219,91.522,133.288,86.225,311.035,139.757,210.582,122.979,473.318,187.03,274.937,123.091,585.058,231.417,336.562,122.555,690.534
K,6,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,1,high,LM,58.242,0,0,58.242,80.467,0,0,80.467,148.961,0,0,148.961,234.586,0,0,234.586,329.498,0,0,329.498,443.876,0,0,443.876
L,2,high,SP,0,90.344,0,90.344,0,119.915,0,119.915,0,191.217,0,191.217,0,317.201,0,317.201,0,416.315,0,416.315,0,557.775,0,557.775
L,3,high,WB,0,0,83.878,83.878,0,0,90.245,90.245,0,0,191.414,191.414,0,0,290.788,290.788,0,0,391.171,391.171,0,0,488.132,488.132
L,4,low,LM,52.528,0,0,52.528,64.926,0,0,64.926,83.523,0,0,83.523,94.922,0,0,94.922,104.516,0,0,104.516,107.997,0,0,107.997
L,5,low,SP,0,122.693,0,122.693,0,153.886,0,153.886,0,181.573,0,181.573,0,204.947,0,204.947,0,220.1,0,220.1,0,216.268,0,216.268
L,6,low,WB,0,0,92.153,92.153,0,0,89.128,89.128,0,0,122.851,122.851,0,0,101.253,101.253,0,0,86.597,86.597,0,0,81.835,81.835
M,1,low,LMSP,27.723,31.672,0,59.395,39.63,40.244,0,79.874,50.87,45.264,0,96.134,49.261,54.265,0,103.526,49.348,56.516,0,105.864,50.802,58.499,0,109.301
M,2,low,LMWB,28.446,0,70.763,99.209,38.589,0,78.932,117.521,49.32,0,84.916,134.236,55.923,0,61.017,116.94,60.944,0,57.199,118.143,61.535,0,48.999,110.534
M,3,low,SPWB,0,62.347,72.924,135.271,0,75.402,66.876,142.278,0,86.917,90.025,176.942,0,92.839,63.623,156.462,0,96.587,51.082,147.669,0,90.938,45.671,136.609
M,4,high,LMSP,27.684,67.645,0,95.329,42.426,103.967,0,146.393,84.961,190.756,0,275.717,125.805,296.718,0,422.523,175.093,393.087,0,568.18,227.001,505.978,0,732.979
M,5,high,LMWB,36.335,0,55.7,92.035,64.02,0,88.103,152.123,110.746,0,148.042,258.788,161.653,0,172.788,334.441,222.79,0,225.942,448.732,311.694,0,226.261,537.955
M,6,high,SPWB,0,50.753,67.381,118.134,0,73.409,80.062,153.471,0,123.89,177.74,301.63,0,173.305,217.135,390.44,0,220.741,250.477,471.218,0,309.435,256.149,565.584
N,1,high,LMSPWB,34.01,50.465,43.984,128.459,49.183,61.462,45.389,156.034,91.114,106.327,82.785,280.226,137.524,170.968,110.949,419.441,183.701,223.535,125.978,533.214,223.61,264.612,109.397,597.619
N,2,high,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,3,high,LM,42.763,0,0,42.763,62.435,0,0,62.435,143.525,0,0,143.525,245.591,0,0,245.591,379.454,0,0,379.454,517.841,0,0,517.841
N,4,low,LMSPWB,22.359,46.872,42.376,111.607,28.755,49.517,38.458,116.73,35.488,53.118,37.669,126.275,46.777,58.055,40.833,145.665,59.931,56.431,41.263,157.625,49.672,56.237,30,135.909
N,5,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,6,low,LM,53.313,0,0,53.313,64.401,0,0,64.401,94.716,0,0,94.716,99.557,0,0,99.557,125.963,0,0,125.963,129.315,0,0,129.315
O,1,low,SP,0,47.055,0,47.055,0,51.503,0,51.503,0,58.952,0,58.952,0,66.803,0,66.803,0,69.45,0,69.45,0,78.567,0,78.567
O,2,low,WB,0,0,73.771,73.771,0,0,79.923,79.923,0,0,81.836,81.836,0,0,66.877,66.877,0,0,79.494,79.494,0,0,62.883,62.883
O,3,low,LMSP,24.784,43.515,0,68.299,35.253,46.903,0,82.156,44.557,52.471,0,97.028,49.102,53.798,0,102.9,58.792,55.965,0,114.757,72.366,53.52,0,125.886
O,4,high,SP,0,63.006,0,63.006,0,70.388,0,70.388,0,97.664,0,97.664,0,129.422,0,129.422,0,204.955,0,204.955,0,312.065,0,312.065
O,5,high,WB,0,0,58.727,58.727,0,0,90.807,90.807,0,0,149.02,149.02,0,0,223.276,223.276,0,0,395.969,395.969,0,0,423.779,423.779
O,6,high,LMSP,30.936,40.43,0,71.366,50.392,51.356,0,101.748,91.183,98.414,0,189.597,142.561,149.098,0,291.659,205.644,205.576,0,411.22,271.584,234.425,0,506.009
P,1,high,LMWB,35.671,0,39.903,75.574,61.67,0,61.988,123.658,102.12,0,94.902,197.022,164.596,0,156.584,321.18,214.132,0,155.614,369.746,272.998,0,164.055,437.053
P,2,high,SPWB,0,49.888,47.891,97.779,0,64.288,74.371,138.659,0,110.493,111.292,221.785,0,179.028,191.699,370.727,0,257.981,215.07,473.051,0,342.124,241.394,583.518
P,3,high,LMSPWB,28.572,41.88,48.929,119.381,58.636,56.465,58.002,173.103,86.831,76.611,87.208,250.65,132.045,109.512,107.744,349.301,171.849,148.673,99.259,419.781,224.923,176.201,104.568,505.692
P,4,low,LMWB,42.424,0,58.885,101.309,58.854,0,69.166,128.02,67.944,0,57.4,125.344,77.846,0,55.343,133.189,86.578,0,52.181,138.759,88.766,0,49.958,138.724
P,5,low,SPWB,0,60.18,48.405,108.585,0,81.748,66.102,147.85,0,90.142,46.599,136.741,0,107.513,41.996,149.509,0,116.68,35.72,152.4,0,119.549,25.789,145.338
P,6,low,LMSPWB,27.673,31.044,58.104,116.821,36.179,34.325,54.383,124.887,41.862,37.51,49.706,129.078,43.847,39.796,46.091,129.734,46.73,34.609,37.573,118.912,50.307,37.601,37.158,125.066
